epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.177,0.73425,1.75953,1.25324,0.6889,0.62791,0.75361,0.43583,0.98386,2.85544,1.80299,0.00064,0.00064,0.00064
2,253.657,0.65666,1.12921,1.17903,0.83435,0.4186,0.62955,0.41914,1.08746,2.72246,1.91984,0.00127426,0.00127426,0.00127426
3,1343.89,0.71329,1.01608,1.20155,0.56239,0.30233,0.39604,0.1648,1.47673,3.62338,2.40489,0.00188238,0.00188238,0.00188238
4,1469.69,0.69664,0.93801,1.20653,0.7737,0.87473,0.89285,0.58356,0.95717,1.60734,1.94142,0.0018812,0.0018812,0.0018812
5,1595.68,0.6876,0.84751,1.19022,0.89096,0.90698,0.96839,0.71091,0.96429,1.42211,1.85317,0.0018416,0.0018416,0.0018416
6,1720.61,0.67133,0.79929,1.16971,0.74958,0.76744,0.83026,0.59091,1.00585,1.51248,1.76936,0.001802,0.001802,0.001802
7,1845.32,0.63323,0.71296,1.14803,0.68859,0.69767,0.73613,0.47296,1.58092,1.4803,2.56846,0.0017624,0.0017624,0.0017624
8,1972.63,0.60784,0.66032,1.13032,0.79793,0.91844,0.9315,0.66742,1.16047,1.1477,2.03636,0.0017228,0.0017228,0.0017228
9,2104.74,0.61324,0.64411,1.13888,0.89014,0.9423,0.96576,0.69566,1.03845,0.84457,1.78716,0.0016832,0.0016832,0.0016832
10,2240.52,0.56248,0.60256,1.10363,0.85096,0.60465,0.69642,0.42873,1.66276,1.30392,2.89511,0.0016436,0.0016436,0.0016436
11,2371.57,0.56175,0.58991,1.09803,0.93857,0.90698,0.97796,0.78141,0.7961,0.82334,1.62922,0.001604,0.001604,0.001604
12,2502.17,0.58938,0.58011,1.12304,0.90625,0.97674,0.95227,0.73247,0.95823,0.93718,1.70329,0.0015644,0.0015644,0.0015644
13,2628.36,0.58385,0.5437,1.10123,0.93041,0.97674,0.98854,0.83814,0.63262,0.53251,1.30008,0.0015248,0.0015248,0.0015248
14,2754.4,0.53432,0.52194,1.08437,0.95911,0.88372,0.97893,0.80321,0.64695,0.67866,1.21548,0.0014852,0.0014852,0.0014852
15,2879.79,0.54177,0.52375,1.09342,0.91642,0.76507,0.88747,0.69488,0.87979,1.01239,1.61727,0.0014456,0.0014456,0.0014456
16,3005.82,0.52677,0.48425,1.07853,0.97247,0.97674,0.98757,0.8293,0.6724,0.49273,1.37314,0.001406,0.001406,0.001406
17,3132.73,0.51678,0.50078,1.07519,0.9766,0.9707,0.98403,0.75145,0.92383,0.69824,1.6303,0.0013664,0.0013664,0.0013664
18,3258.15,0.51045,0.46356,1.07203,0.90773,1,0.98356,0.77687,0.80276,0.5547,1.40415,0.0013268,0.0013268,0.0013268
19,3383.25,0.47656,0.43232,1.0537,0.97451,0.95349,0.98825,0.79905,0.79995,0.6329,1.42379,0.0012872,0.0012872,0.0012872
20,3508.49,0.48633,0.47394,1.05873,0.97652,0.96715,0.98258,0.84259,0.68603,0.51048,1.29584,0.0012476,0.0012476,0.0012476
21,3635.87,0.49238,0.46013,1.06518,0.97663,0.97207,0.9916,0.8765,0.58484,0.42328,1.28186,0.001208,0.001208,0.001208
22,3760.98,0.45889,0.41166,1.03579,0.97272,1,0.99455,0.88671,0.53103,0.38245,1.17064,0.0011684,0.0011684,0.0011684
23,3886.54,0.45165,0.41968,1.02287,0.97432,1,0.99205,0.87564,0.54573,0.35119,1.1605,0.0011288,0.0011288,0.0011288
24,4011.8,0.45105,0.3942,1.03311,0.95365,0.95703,0.98798,0.85647,0.67984,0.54036,1.30224,0.0010892,0.0010892,0.0010892
25,4137.28,0.44635,0.40375,1.03398,0.96861,1,0.99364,0.86079,0.60125,0.38924,1.18317,0.0010496,0.0010496,0.0010496
26,4262.8,0.41837,0.38123,1.00319,1,0.99293,0.995,0.89356,0.49578,0.3541,1.11531,0.00101,0.00101,0.00101
27,4388.32,0.43855,0.37578,1.01102,1,0.99714,0.995,0.8653,0.64914,0.36799,1.23851,0.0009704,0.0009704,0.0009704
28,4513.75,0.42983,0.36996,1.01303,0.97725,0.99901,0.99295,0.86785,0.64188,0.40973,1.24615,0.0009308,0.0009308,0.0009308
29,4638.66,0.41419,0.36282,1.00165,0.99812,1,0.995,0.87086,0.63939,0.36368,1.27214,0.0008912,0.0008912,0.0008912
30,4764.16,0.43598,0.37305,1.01767,0.97725,0.99901,0.99409,0.8829,0.51888,0.3522,1.09079,0.0008516,0.0008516,0.0008516
31,4889.67,0.41096,0.3441,1.01102,0.9976,0.97674,0.99292,0.87867,0.52223,0.36582,1.11761,0.000812,0.000812,0.000812
32,5015.35,0.4079,0.34868,1.0084,0.99303,0.97674,0.9937,0.89479,0.53463,0.34764,1.1178,0.0007724,0.0007724,0.0007724
33,5143.66,0.40261,0.33051,1.00225,0.99367,0.95349,0.97571,0.88704,0.49442,0.43369,1.05536,0.0007328,0.0007328,0.0007328
34,5272.31,0.38735,0.33355,0.9848,1,0.9986,0.995,0.89819,0.52101,0.31645,1.14058,0.0006932,0.0006932,0.0006932
35,5401.69,0.38988,0.33254,0.99382,0.99542,1,0.995,0.89336,0.52558,0.31729,1.12079,0.0006536,0.0006536,0.0006536
36,5528.38,0.38213,0.33154,0.98853,0.97577,1,0.995,0.89594,0.50073,0.327,1.11425,0.000614,0.000614,0.000614
37,5653.17,0.3742,0.31899,0.99331,0.99579,0.97674,0.99411,0.89709,0.53531,0.33037,1.13082,0.0005744,0.0005744,0.0005744
38,5778.86,0.37516,0.32385,0.98656,0.95545,1,0.99155,0.89054,0.50504,0.35134,1.09826,0.0005348,0.0005348,0.0005348
39,5904.89,0.37098,0.31976,0.98841,0.97611,0.97674,0.98844,0.9,0.50625,0.36986,1.06847,0.0004952,0.0004952,0.0004952
40,6030.22,0.33843,0.29013,0.97432,0.99844,0.97674,0.99154,0.90475,0.50945,0.32017,1.07102,0.0004556,0.0004556,0.0004556
41,6154.83,0.28364,0.27668,0.96629,0.99792,1,0.995,0.88037,0.55836,0.32016,1.19279,0.000416,0.000416,0.000416
42,6280.82,0.27566,0.23084,0.95483,0.99821,1,0.995,0.89829,0.48738,0.30424,1.07415,0.0003764,0.0003764,0.0003764
43,6408.52,0.28253,0.22431,0.94498,0.99654,0.97674,0.99411,0.9002,0.46588,0.30395,1.08475,0.0003368,0.0003368,0.0003368
44,6538.3,0.26301,0.20454,0.94323,0.97603,1,0.99364,0.90733,0.48692,0.29805,1.12614,0.0002972,0.0002972,0.0002972
45,6663.3,0.24983,0.19897,0.94395,0.95484,1,0.98713,0.91319,0.48502,0.33886,1.09054,0.0002576,0.0002576,0.0002576
46,6787.91,0.25462,0.19264,0.93066,0.95528,1,0.99411,0.92677,0.45814,0.31763,1.0738,0.000218,0.000218,0.000218
47,6912.58,0.24273,0.18592,0.92845,1,0.9902,0.995,0.92552,0.45349,0.28096,1.07534,0.0001784,0.0001784,0.0001784
48,7037.43,0.23333,0.17734,0.92693,0.97643,1,0.99455,0.93144,0.44186,0.27835,1.05723,0.0001388,0.0001388,0.0001388
49,7162.31,0.2323,0.17536,0.91661,0.97726,0.99936,0.9925,0.9173,0.45191,0.28363,1.06884,9.92e-05,9.92e-05,9.92e-05
50,7287,0.23001,0.17338,0.93344,0.95554,0.99954,0.99365,0.9264,0.44364,0.29081,1.05198,5.96e-05,5.96e-05,5.96e-05
